date,trend_score,park
2023-12-01,22.0,Acadia National Park
2024-01-01,33.0,Acadia National Park
2024-02-01,33.0,Acadia National Park
2024-03-01,39.0,Acadia National Park
2024-04-01,47.0,Acadia National Park
2024-05-01,68.0,Acadia National Park
2024-06-01,90.0,Acadia National Park
2024-07-01,93.0,Acadia National Park
2024-08-01,86.0,Acadia National Park
2024-09-01,70.0,Acadia National Park
2024-10-01,55.0,Acadia National Park
2024-11-01,25.0,Acadia National Park
2024-12-01,25.0,Acadia National Park
2025-01-01,34.0,Acadia National Park
2025-02-01,33.0,Acadia National Park
2025-03-01,38.0,Acadia National Park
2025-04-01,46.0,Acadia National Park
2025-05-01,69.0,Acadia National Park
2025-06-01,92.0,Acadia National Park
2025-07-01,100.0,Acadia National Park
2025-08-01,88.0,Acadia National Park
2025-09-01,71.0,Acadia National Park
2025-10-01,66.0,Acadia National Park
2025-11-01,25.0,Acadia National Park
2025-12-01,25.0,Acadia National Park
2010-01-01,27.0,Arches National Park
2010-02-01,30.0,Arches National Park
2010-03-01,40.0,Arches National Park
2010-04-01,44.0,Arches National Park
2010-05-01,52.0,Arches National Park
2010-06-01,47.0,Arches National Park
2010-07-01,41.0,Arches National Park
2010-08-01,36.0,Arches National Park
2010-09-01,33.0,Arches National Park
2010-10-01,26.0,Arches National Park
2010-11-01,21.0,Arches National Park
2010-12-01,19.0,Arches National Park
2011-01-01,26.0,Arches National Park
2011-02-01,29.0,Arches National Park
2011-03-01,41.0,Arches National Park
2011-04-01,48.0,Arches National Park
2011-05-01,51.0,Arches National Park
2011-06-01,46.0,Arches National Park
2011-07-01,47.0,Arches National Park
2011-08-01,37.0,Arches National Park
2011-09-01,36.0,Arches National Park
2011-10-01,30.0,Arches National Park
2011-11-01,22.0,Arches National Park
2011-12-01,21.0,Arches National Park
2012-01-01,27.0,Arches National Park
2012-02-01,32.0,Arches National Park
2012-03-01,37.0,Arches National Park
2012-04-01,47.0,Arches National Park
2012-05-01,49.0,Arches National Park
2012-06-01,47.0,Arches National Park
2012-07-01,46.0,Arches National Park
2012-08-01,37.0,Arches National Park
2012-09-01,37.0,Arches National Park
2012-10-01,28.0,Arches National Park
2012-11-01,22.0,Arches National Park
2012-12-01,20.0,Arches National Park
2013-01-01,28.0,Arches National Park
2013-02-01,29.0,Arches National Park
2013-03-01,44.0,Arches National Park
2013-04-01,48.0,Arches National Park
2013-05-01,47.0,Arches National Park
2013-06-01,49.0,Arches National Park
2013-07-01,49.0,Arches National Park
2013-08-01,49.0,Arches National Park
2013-09-01,43.0,Arches National Park
2013-10-01,37.0,Arches National Park
2013-11-01,30.0,Arches National Park
2013-12-01,27.0,Arches National Park
2014-01-01,33.0,Arches National Park
2014-02-01,40.0,Arches National Park
